Team1,symbol,Team2,Year,Date,MonthNo,DayNum,Time,Week,Game,Weekday,Team1WL,Team1Pts,Team2Pts,Margin,OT,Spread,vsLine,OU,OU Result
SDG,@,DEN,2014,2014-10-23,10,23,8:26,8,8,Thu,L,21,35,-14,,9,not covered,51,over
GNB,@,SEA,2014,2014-09-04,9,4,8:42,1,1,Thu,L,16,36,-20,,8.5,not covered,45,over
NYJ,@,KAN,2014,2014-11-02,11,2,1:03,9,9,Sun,L,10,24,-14,,8.5,not covered,41.5,under
WAS,@,IND,2014,2014-11-30,11,30,1:02,13,12,Sun,L,27,49,-22,,8.5,not covered,49,over
IND,@,DEN,2014,2014-09-07,9,7,8:30,1,1,Sun,L,24,31,-7,,7.5,covered,55,push
ARI,@,DEN,2014,2014-10-05,10,5,4:05,5,4,Sun,L,20,41,-21,,7.5,not covered,48,over
JAX,@,HOU,2014,2014-12-28,12,28,1:03,17,16,Sun,L,17,23,-6,,7.5,covered,38,over
MIA,@,NWE,2014,2014-12-14,12,14,1:02,15,14,Sun,L,13,41,-28,,7.5,not covered,48,over
MIN,@,GNB,2014,2014-10-02,10,2,8:26,5,5,Thu,L,10,42,-32,,7.5,not covered,47.5,over
MIN,@,DET,2014,2014-12-14,12,14,4:25,15,14,Sun,L,14,16,-2,,7.5,covered,41.5,under
NYJ,@,GNB,2014,2014-09-14,9,14,4:25,2,2,Sun,L,24,31,-7,,7.5,covered,46,over
TEN,@,IND,2014,2014-09-28,9,28,1:03,4,4,Sun,L,17,41,-24,,7.5,not covered,46,over
TAM,@,PIT,2014,2014-09-28,9,28,1:03,4,4,Sun,W,27,24,3,,7.5,covered,45,over
TAM,@,WAS,2014,2014-11-16,11,16,1:03,11,10,Sun,W,27,7,20,,7.5,covered,45.5,under
BUF,@,CHI,2014,2014-09-07,9,7,1:00,1,1,Sun,W,23,20,3,OT,7,covered,47,under
CAR,@,CIN,2014,2014-10-12,10,12,1:03,6,6,Sun,T,37,37,0,OT,7,covered,44,over
CAR,@,PHI,2014,2014-11-10,11,10,8:32,10,10,Mon,L,21,45,-24,,7,not covered,48.5,over
CHI,@,SFO,2014,2014-09-14,9,14,8:31,2,2,Sun,W,28,20,8,,7,covered,47.5,over
CHI,@,DET,2014,2014-11-27,11,27,12:39,13,12,Thu,L,17,34,-17,,7,not covered,46.5,over
CHI,@,MIN,2014,2014-12-28,12,28,1:02,17,16,Sun,L,9,13,-4,,7,covered,46.5,under
